id,symbol,name,currency,country,shares,cap_index,indicies,initial_date,initial_price,initial_price_USD,initial_MC_USD,share,share_adj
153,4911.TSE,Shiseido,JPY,Japan,399548000,Blue Chip,"[consumer-50,cosmetics-15]",2022-12-29,6369.803,47.88785475322332,19133.49659094087,0.326928980340395,0.1
139,4452.TSE,Kaō,JPY,Japan,464833984,Blue Chip,"[consumer-50,cosmetics-15]",2022-12-29,5219.882,39.242807202195245,18241.390415140308,0.3116857987805782,0.1
108,090430.KO,Amorepacific,KRW,South Korea,58460800,Mid Cap,"[consumer-50,cosmetics-15]",2022-12-29,137500,109.01969490342837,6373.378579810345,0.10890022900504513,0.1
140,4922.TSE,Kosé,JPY,Japan,57050500,Mid Cap,"[consumer-50,cosmetics-15]",2022-12-29,14430.3124,108.48635417058229,6189.200748608805,0.10575323126368436,0.1
157,4927.TSE,Pola Orbis Holdings,JPY,Japan,221232000,Mid Cap,"[consumer-50,cosmetics-15]",2022-12-29,1841.6361,13.84532646693982,3063.0292649340304,0.05233716846150334,0.1
158,4921.TSE,Fancl Corp.,JPY,Japan,120923000,Mid Cap,"[consumer-50,cosmetics-15]",2022-12-29,2644.8553,19.883887531481417,2404.4193319693272,0.041083675259003534,0.1
160,PERF,Perfect Corp.,USD,Taiwan,101475000,Small Cap,"[consumer-50,cosmetics-15]",2022-12-29,7.14,7.14,724.5315,0.012379877530155561,0.09288812312681449
128,192820.KO,Cosmax,KRW,South Korea,11345700,Small Cap,"[consumer-50,cosmetics-15]",2022-12-29,74100,58.75170467159303,666.5792156924931,0.011389662222305327,0.08545838553744003
146,4137.TW,Chlitina Holding,TWD,Taiwan,78989000,Small Cap,"[consumer-50,cosmetics-15]",2022-12-29,201.5,6.566726413557113,518.6991526804628,0.00886287481659471,0.06649951142214958
162,4917.TSE,Mandom Corp.,JPY,Japan,44965400,Small Cap,"[consumer-50,cosmetics-15]",2022-12-29,1444.5057,10.859720332293351,488.3116686297035,0.008343651938089143,0.06260370239242341
133,226320.KO,It's Hanbul,KRW,South Korea,17616700,Micro Cap,"[consumer-50,cosmetics-15]",2022-12-29,17850,14.152738574735974,249.32454964955124,0.004260142436764494,0.03196450322226859
149,024720.KO,Kolmar Korea Holdings,KRW,South Korea,18385600,Micro Cap,"[consumer-50,cosmetics-15]",2022-12-29,15750,12.487710507119978,229.59405029970506,0.003923012628661037,0.029434966476161548
150,078520.KO,Able C&C,KRW,South Korea,26014200,Micro Cap,"[consumer-50,cosmetics-15]",2022-12-29,5240,4.154641463956106,108.07967397164694,0.0018467287167888914,0.013856289289539941
135,214420.KO,Tonymoly,KRW,South Korea,23902700,Micro Cap,"[consumer-50,cosmetics-15]",2022-12-29,4395,3.484665884367765,83.29292323427737,0.001423204082595446,0.010678518889762368
136,4747.TWO,Johnson Chemical Pharmaceutical Works,TWD,Taiwan,30019000,Micro Cap,"[consumer-50,cosmetics-15]",2022-12-29,52.75,1.7190809841942318,51.605092064526644,0.0008817625178356531,0.006615999643439034
