name,country,currency,symbol,index,shares,initial_date,initial_price
HYBE,South Korea,KRW,352820.KO,Mid Cap,41649100,2022-12-29,173500
JYP Entertainment,South Korea,KRW,035900.KQ,Mid Cap,33095600,2022-12-29,67800
SM Entertainment,South Korea,KRW,041510.KQ,Mid Cap,23348700,2022-12-29,76700
Studio Dragon,South Korea,KRW,253450.KQ,Small Cap,28051500,2022-12-29,86000
YG Entertainment,South Korea,KRW,122870.KQ,Small Cap,18197600,2022-12-29,43850
CJ ENM,South Korea,KRW,035760.KQ,Small Cap,21929200,2022-12-29,104700
AfreecaTV,South Korea,KRW,067160.KQ,Small Cap,10814400,2022-12-29,71100
CJ CGV,South Korea,KRW,079160.KO,Small Cap,47728500,2022-12-29,16950
KEYEAST,South Korea,KRW,054780.KQ,Small Cap,85175600,2022-12-29,9350
Cube Entertainment,South Korea,KRW,182360.KQ,Small Cap,26573800,2022-12-29,16200
Chorokbaem Media,South Korea,KRW,047820.KQ,Small Cap,76394800,2022-12-29,10650
GIANTSTEP,South Korea,KRW,289220.KQ,Small Cap,22121745,2022-12-29,17450
Dexter Studios,South Korea,KRW,206560.KQ,Micro Cap,24642500,2022-12-29,12700
SM Culture & Contents,South Korea,KRW,048550.KQ,Micro Cap,92639696,2022-12-29,2960
Genie Music,South Korea,KRW,043610.KQ,Micro Cap,58115400,2022-12-29,3410
Showbox,South Korea,KRW,086980.KQ,Micro Cap,62400000,2022-12-29,3675
Next Entertainment World,South Korea,KRW,160550.KQ,Micro Cap,27906100,2022-12-29,8150
ASTORY,South Korea,KRW,241840.KQ,Micro Cap,9539994,2022-12-29,25350
RaemongRaein,South Korea,KRW,200350.KQ,Micro Cap,6422104,2022-12-29,21200
SBS Contents Hub,South Korea,KRW,046140.KQ,Micro Cap,21463600,2022-12-29,5700
RBW (RAINBOW BRIDGE WORLD),South Korea,KRW,361570.KQ,Micro Cap,9666193,2022-12-29,4366.6621
Samhwa Networks,South Korea,KRW,046390.KQ,Micro Cap,40337900,2022-12-29,3390
NHN BUGS,South Korea,KRW,104200.KQ,Micro Cap,14152700,2022-12-29,5700
Pan Entertainment,South Korea,KRW,068050.KQ,Micro Cap,13743000,2022-12-29,5210
IHQ,South Korea,KRW,003560.KO,Micro Cap,239696992,2022-12-29,423
Daewon Media,South Korea,KRW,048910.KQ,Micro Cap,12311300,2022-12-29,13850
four by four,South Korea,KRW,389140.KQ,Micro Cap,10522735,2022-12-29,11200
Wysiwyg Studios,South Korea,KRW,299900.KQ,Micro Cap,8867360,2022-12-29,4312.5
Aniplus,South Korea,KRW,310200.KQ,Micro Cap,3050000,2022-12-29,4740
